resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","test_batch_job","1923026","1923025","1922806","2010-12-13T19:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub20276.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1965394","1965392","1922806","2010-12-18T15:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub18078.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1966132","1966131","1922806","2010-12-18T17:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub29335.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1966868","1966867","1922806","2010-12-18T19:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub7898.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1967600","1967599","1922806","2010-12-18T21:04:01.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub18885.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1968336","1968335","1922806","2010-12-18T23:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub29805.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1969067","1969066","1922806","2010-12-19T01:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub8444.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1969799","1969798","1922806","2010-12-19T03:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub19584.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1971273","1971272","1922806","2010-12-19T07:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub16571.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1972004","1972003","1922806","2010-12-19T09:04:01.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub27409.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1972735","1972734","1922806","2010-12-19T11:04:01.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub5911.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
