resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","openstack-create-publicvm","4198523","4198522","4198512","2011-10-14T18:15:54.000-04:00","Failure","Command 'sh nova novakey ami-00000028' failed with exit code 127","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4228804","4228799","4198579","2011-10-19T06:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.430618 s ping 30.004391 s ssh 30.174871 s destroy 0.475789 s","Success"
"iu-india","	","openstack-create-publicvm","4229631","4229627","4198579","2011-10-19T09:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.379775 s ping 30.003949 s ssh 30.202726 s destroy 0.463693 s","Success"
"iu-india","	","openstack-create-publicvm","4230491","4230490","4198579","2011-10-19T12:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.430136 s ping 30.003598 s ssh 30.192089 s destroy 0.464549 s","Success"
"iu-india","	","openstack-create-publicvm","4231329","4231328","4198579","2011-10-19T15:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.280855 s ping 30.002528 s ssh 30.19594 s destroy 0.458344 s","Success"
"iu-india","	","openstack-create-publicvm","4233130","4233129","4198579","2011-10-19T21:45:39.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 96.607576 s ping 30.002933 s ssh 30.309756 s destroy 0.469378 s","Success"
"iu-india","	","openstack-create-publicvm","4233969","4233968","4198579","2011-10-20T00:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.322702 s ping 30.004193 s ssh 30.181812 s destroy 0.46745 s","Success"
"iu-india","	","openstack-create-publicvm","4234816","4234815","4198579","2011-10-20T03:45:39.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 96.813067 s ping 30.003827 s ssh 30.306734 s destroy 0.563922 s","Success"
"iu-india","	","openstack-create-publicvm","4235664","4235663","4198579","2011-10-20T06:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.284007 s ping 30.005344 s ssh 30.187967 s destroy 0.464449 s","Success"
"iu-india","	","openstack-create-publicvm","4236508","4236507","4198579","2011-10-20T09:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.329484 s ping 30.017737 s ssh 30.42867 s destroy 0.469249 s","Success"
"iu-india","	","openstack-create-publicvm","4237404","4237403","4198579","2011-10-20T12:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.215177 s ping 30.004067 s ssh 30.194844 s destroy 0.459584 s","Success"
