resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-storage","1588970","1588969","1588960","2010-11-10T19:19:59.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1610139","1590227","1590219","2010-11-13T04:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1610514","1590227","1590219","2010-11-13T05:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1610888","1590227","1590219","2010-11-13T06:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1611264","1590227","1590219","2010-11-13T07:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1611665","1590227","1590219","2010-11-13T08:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1612042","1590227","1590219","2010-11-13T09:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1612432","1590227","1590219","2010-11-13T10:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1612818","1590227","1590219","2010-11-13T11:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1613193","1590227","1590219","2010-11-13T12:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1613573","1590227","1590219","2010-11-13T13:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1613957","1590227","1590219","2010-11-13T14:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
