resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-clientStatus","1484045","1484044","1483987","2010-10-28T13:17:25.000-04:00","Failure","Not all expressions found in output: "AVAILABILITYZONEs+india"","","Failure:errorMessage"
"iu-india","	","eucalyptus-clientStatus","1516389","1484071","1484061","2010-11-01T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1516759","1484071","1484061","2010-11-01T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1517119","1484071","1484061","2010-11-01T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1517483","1484071","1484061","2010-11-01T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1517848","1484071","1484061","2010-11-01T11:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1518206","1484071","1484061","2010-11-01T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1518577","1484071","1484061","2010-11-01T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1518939","1484071","1484061","2010-11-01T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1519303","1484071","1484061","2010-11-01T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1519661","1484071","1484061","2010-11-01T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1520012","1484071","1484061","2010-11-01T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1520377","1484071","1484061","2010-11-01T18:28:00.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1520758","1484071","1484061","2010-11-01T19:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1521135","1484071","1484061","2010-11-01T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1521513","1484071","1484061","2010-11-01T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1521893","1484071","1484061","2010-11-01T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1522263","1484071","1484061","2010-11-01T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1522642","1484071","1484061","2010-11-02T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1523023","1484071","1484061","2010-11-02T01:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1523407","1484071","1484061","2010-11-02T02:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1523789","1484071","1484061","2010-11-02T03:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1524163","1484071","1484061","2010-11-02T04:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1524535","1484071","1484061","2010-11-02T05:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1524911","1484071","1484061","2010-11-02T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1525291","1484071","1484061","2010-11-02T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1525678","1484071","1484061","2010-11-02T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1526052","1484071","1484061","2010-11-02T09:28:00.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1526446","1484071","1484061","2010-11-02T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1526830","1484071","1484061","2010-11-02T11:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1527212","1484071","1484061","2010-11-02T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1527642","1484071","1484061","2010-11-02T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1528025","1484071","1484061","2010-11-02T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1528377","1484071","1484061","2010-11-02T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1528709","1484071","1484061","2010-11-02T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1529068","1484071","1484061","2010-11-02T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1529424","1484071","1484061","2010-11-02T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1529777","1484071","1484061","2010-11-02T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1530136","1484071","1484061","2010-11-02T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1530496","1484071","1484061","2010-11-02T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1530859","1484071","1484061","2010-11-02T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1531218","1484071","1484061","2010-11-02T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1531580","1484071","1484061","2010-11-03T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1531941","1484071","1484061","2010-11-03T01:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1532305","1484071","1484061","2010-11-03T02:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1532671","1484071","1484061","2010-11-03T03:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1533030","1484071","1484061","2010-11-03T04:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1533389","1484071","1484061","2010-11-03T05:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1533745","1484071","1484061","2010-11-03T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1534599","1484071","1484061","2010-11-03T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1534963","1484071","1484061","2010-11-03T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1535329","1484071","1484061","2010-11-03T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1535704","1484071","1484061","2010-11-03T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1536067","1484071","1484061","2010-11-03T11:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1536414","1484071","1484061","2010-11-03T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1536778","1484071","1484061","2010-11-03T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1537126","1484071","1484061","2010-11-03T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1537480","1484071","1484061","2010-11-03T15:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1537846","1484071","1484061","2010-11-03T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1538197","1484071","1484061","2010-11-03T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1538544","1484071","1484061","2010-11-03T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1538897","1484071","1484061","2010-11-03T19:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1539244","1484071","1484061","2010-11-03T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1539598","1484071","1484061","2010-11-03T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1539962","1484071","1484061","2010-11-03T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1540309","1484071","1484061","2010-11-03T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1540660","1484071","1484061","2010-11-04T00:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1541009","1484071","1484061","2010-11-04T01:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1541359","1484071","1484061","2010-11-04T02:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1541717","1484071","1484061","2010-11-04T03:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1542078","1484071","1484061","2010-11-04T04:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1542425","1484071","1484061","2010-11-04T05:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1542769","1484071","1484061","2010-11-04T06:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1543118","1484071","1484061","2010-11-04T07:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1543477","1484071","1484061","2010-11-04T08:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1543852","1484071","1484061","2010-11-04T09:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1544213","1484071","1484061","2010-11-04T10:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1544569","1484071","1484061","2010-11-04T11:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1544918","1484071","1484061","2010-11-04T12:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1545285","1484071","1484061","2010-11-04T13:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1545633","1484071","1484061","2010-11-04T14:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1546000","1484071","1484061","2010-11-04T15:28:02.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1546351","1484071","1484061","2010-11-04T16:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1546699","1484071","1484061","2010-11-04T17:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1547049","1484071","1484061","2010-11-04T18:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1547408","1547407","1484061","2010-11-04T19:29:01.000-04:00","Failure","Reporter exceeded usage limits --  wall clock time limit exceeded 60 secs","","Failure:errorMessage"
"iu-india","	","eucalyptus-clientStatus","1547753","1484071","1484061","2010-11-04T20:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1548117","1484071","1484061","2010-11-04T21:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1548472","1484071","1484061","2010-11-04T22:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1548819","1484071","1484061","2010-11-04T23:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1549170","1484071","1484061","2010-11-05T00:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1549519","1484071","1484061","2010-11-05T01:28:01.000-04:00","Success","","search_output","Success"
"iu-india","	","eucalyptus-clientStatus","1549870","1484071","1484061","2010-11-05T02:28:01.000-04:00","Success","","search_output","Success"
