resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-storage","7640747","7640746","7640725","2013-03-26T13:31:24.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7662299","7640746","7640725","2013-03-29T08:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7662623","7640746","7640725","2013-03-29T09:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7662941","7640746","7640725","2013-03-29T10:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7663252","7640746","7640725","2013-03-29T11:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7663580","7640746","7640725","2013-03-29T12:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7663894","7640746","7640725","2013-03-29T13:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7664209","7640746","7640725","2013-03-29T14:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7664525","7640746","7640725","2013-03-29T15:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7664847","7640746","7640725","2013-03-29T16:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7665162","7640746","7640725","2013-03-29T17:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7665488","7640746","7640725","2013-03-29T18:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7665811","7640746","7640725","2013-03-29T19:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7666121","7640746","7640725","2013-03-29T20:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7666443","7640746","7640725","2013-03-29T21:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7666770","7640746","7640725","2013-03-29T22:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7667076","7640746","7640725","2013-03-29T23:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7667391","7640746","7640725","2013-03-30T00:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7667719","7640746","7640725","2013-03-30T01:22:01.000-04:00","Success","","search_output","Success"
